                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.52748,                0.80056,                 1.0476,                0.94753,                0.92967,                0.97271,                  0.875,                 0.4737,                0.51077,                0.99858,             0.00018443,             0.00018443,             0.00018443
                     36,                0.53524,                0.79318,                  1.052,                0.95385,                0.92398,                0.96998,                 0.8653,                0.48147,                0.52087,                 1.0028,             0.00018167,             0.00018167,             0.00018167
                     37,                0.51538,                0.76477,                 1.0377,                0.96392,                0.92663,                0.97392,                0.87341,                0.48097,                0.49005,                 1.0041,             0.00017892,             0.00017892,             0.00017892
                     38,                0.53072,                0.76747,                 1.0463,                0.95618,                0.93189,                0.97187,                0.87413,                0.46478,                0.47862,                 0.9914,             0.00017617,             0.00017617,             0.00017617
                     39,                0.52084,                0.74304,                 1.0363,                0.94037,                0.94513,                0.97375,                0.87546,                0.46067,                0.49807,                0.98966,             0.00017342,             0.00017342,             0.00017342
                     40,                0.51049,                0.74662,                 1.0353,                0.95342,                  0.953,                0.97761,                0.89098,                0.45262,                 0.4598,                0.97771,             0.00017066,             0.00017066,             0.00017066
                     41,                0.50943,                0.72618,                 1.0304,                0.95558,                0.92897,                0.97003,                0.88388,                0.45118,                0.48511,                0.97994,             0.00016791,             0.00016791,             0.00016791
                     42,                0.52092,                0.73332,                 1.0381,                0.95036,                 0.9469,                0.97377,                0.88965,                0.43817,                0.47352,                 0.9675,             0.00016516,             0.00016516,             0.00016516
                     43,                0.50564,                0.71997,                  1.026,                0.95831,                0.93937,                0.97389,                0.88865,                0.44225,                0.47775,                0.97002,             0.00016241,             0.00016241,             0.00016241
                     44,                0.50057,                0.72748,                 1.0265,                0.95832,                0.93605,                0.97218,                0.88872,                0.44096,                0.46454,                0.96604,             0.00015966,             0.00015966,             0.00015966
                     45,                0.50531,                0.69206,                 1.0197,                0.95624,                0.93471,                0.97454,                0.88985,                0.43618,                 0.4549,                0.96089,              0.0001569,              0.0001569,              0.0001569
                     46,                0.49331,                 0.6863,                  1.021,                0.95426,                0.95081,                0.97684,                0.89185,                0.43155,                0.44374,                0.95945,             0.00015415,             0.00015415,             0.00015415
                     47,                0.48826,                0.68605,                 1.0175,                0.95066,                0.94518,                0.97545,                0.89381,                0.43155,                0.44124,                0.96214,              0.0001514,              0.0001514,              0.0001514
                     48,                0.49519,                0.67731,                 1.0281,                0.94433,                0.95301,                0.97355,                0.88627,                0.44388,                0.45449,                0.96922,             0.00014865,             0.00014865,             0.00014865
                     49,                0.50072,                0.68332,                 1.0292,                0.95655,                  0.957,                0.97876,                0.90211,                0.42004,                0.44293,                0.94987,             0.00014589,             0.00014589,             0.00014589
                     50,                  0.481,                 0.6582,                 1.0203,                0.96737,                0.93637,                0.97611,                0.89575,                0.43633,                0.44931,                0.96392,             0.00014314,             0.00014314,             0.00014314
                     51,                0.48547,                0.66014,                  1.012,                0.96458,                0.94501,                0.97779,                0.90127,                0.41545,                0.43305,                0.95135,             0.00014039,             0.00014039,             0.00014039
                     52,                0.49141,                0.65575,                 1.0132,                0.97094,                0.94627,                0.97584,                0.90218,                0.41387,                0.41915,                  0.948,             0.00013764,             0.00013764,             0.00013764
                     53,                0.49161,                0.66295,                 1.0183,                0.96897,                0.93787,                0.97711,                 0.8933,                0.43668,                 0.4462,                0.96788,             0.00013489,             0.00013489,             0.00013489
                     54,                0.50203,                0.65229,                 1.0257,                0.96116,                0.95789,                0.97963,                0.90317,                0.41284,                0.42207,                0.94712,             0.00013213,             0.00013213,             0.00013213
                     55,                0.48388,                0.64265,                 1.0207,                0.96596,                0.95098,                0.97998,                  0.908,                0.40796,                0.42849,                0.94293,             0.00012938,             0.00012938,             0.00012938
                     56,                0.47907,                0.64283,                 1.0096,                0.96371,                 0.9535,                0.97772,                0.89638,                0.41562,                0.42594,                0.94855,             0.00012663,             0.00012663,             0.00012663
                     57,                0.48074,                0.63687,                 1.0221,                0.96955,                0.95273,                0.97996,                0.90538,                0.40696,                0.42797,                0.94076,             0.00012388,             0.00012388,             0.00012388
                     58,                0.46662,                0.62925,                 1.0049,                0.96581,                0.95228,                0.98127,                0.90951,                0.40418,                0.40877,                0.93833,             0.00012112,             0.00012112,             0.00012112
                     59,                0.45901,                0.61213,                 1.0048,                0.96287,                0.95627,                0.98171,                 0.9125,                0.39413,                0.40624,                0.92708,             0.00011837,             0.00011837,             0.00011837
                     60,                0.47301,                 0.6101,                  1.013,                0.97033,                0.94948,                0.98173,                0.91465,                0.39443,                0.40511,                 0.9305,             0.00011562,             0.00011562,             0.00011562
                     61,                0.46011,                0.59662,                 1.0066,                0.96596,                0.95742,                0.98247,                0.91343,                0.39473,                0.40016,                0.92835,             0.00011287,             0.00011287,             0.00011287
                     62,                0.45652,                0.60708,                 1.0005,                0.95559,                0.96462,                0.98293,                0.91249,                0.39613,                 0.4084,                0.92776,             0.00011012,             0.00011012,             0.00011012
                     63,                 0.4699,                0.61173,                  1.001,                0.96604,                0.95153,                0.98053,                0.90938,                0.39722,                0.40302,                0.93091,             0.00010736,             0.00010736,             0.00010736
                     64,                0.45509,                0.59243,                 1.0024,                0.96519,                0.95369,                 0.9829,                0.91713,                 0.3875,                 0.3969,                0.92285,             0.00010461,             0.00010461,             0.00010461
                     65,                0.46786,                0.58633,                 1.0074,                0.97482,                0.95083,                0.98376,                0.91624,                0.39125,                 0.3898,                0.92791,             0.00010186,             0.00010186,             0.00010186
                     66,                0.46087,                0.57919,                0.99838,                0.97205,                0.95541,                0.98375,                0.91812,                0.38828,                0.38837,                0.92877,             9.9107e-05,             9.9107e-05,             9.9107e-05
                     67,                0.46084,                0.58478,                 1.0032,                0.97412,                0.94558,                0.98149,                0.91417,                0.38319,                 0.3905,                  0.924,             9.6355e-05,             9.6355e-05,             9.6355e-05
                     68,                0.44377,                0.57524,                0.99122,                0.97857,                0.94678,                0.98418,                0.92046,                0.38223,                0.38254,                0.92342,             9.3603e-05,             9.3603e-05,             9.3603e-05
                     69,                0.43889,                0.56134,                0.99467,                0.95867,                0.96171,                0.98301,                0.92043,                0.37715,                0.38266,                0.91603,              9.085e-05,              9.085e-05,              9.085e-05
                     70,                0.45828,                0.56909,                0.99874,                0.97267,                0.95576,                 0.9839,                0.92237,                0.37341,                0.38051,                0.91472,             8.8098e-05,             8.8098e-05,             8.8098e-05
                     71,                0.43964,                0.55016,                0.98813,                0.97106,                0.96022,                0.98215,                 0.9215,                 0.3693,                0.37203,                0.91266,             8.5346e-05,             8.5346e-05,             8.5346e-05
                     72,                0.44633,                0.56132,                0.99632,                0.96556,                0.95954,                0.98304,                0.92416,                0.36701,                0.37021,                0.90912,             8.2594e-05,             8.2594e-05,             8.2594e-05
                     73,                0.42388,                0.55104,                0.98441,                0.96939,                0.95926,                0.98143,                 0.9237,                0.36968,                0.36621,                0.90898,             7.9842e-05,             7.9842e-05,             7.9842e-05
                     74,                0.43851,                0.54483,                0.98631,                0.97232,                0.95694,                0.98184,                0.91989,                0.37475,                0.37414,                0.91479,             7.7089e-05,             7.7089e-05,             7.7089e-05
                     75,                0.44015,                 0.5536,                0.99014,                0.97105,                0.95685,                0.98282,                0.92235,                0.36847,                0.36418,                0.91148,             7.4337e-05,             7.4337e-05,             7.4337e-05
                     76,                0.44062,                0.54423,                0.98317,                0.97272,                 0.9552,                0.98221,                 0.9205,                0.36972,                0.37272,                0.91094,             7.1585e-05,             7.1585e-05,             7.1585e-05
                     77,                0.43054,                0.52564,                0.97766,                0.97529,                0.95328,                0.98019,                0.92316,                0.36512,                0.36476,                0.90614,             6.8833e-05,             6.8833e-05,             6.8833e-05
                     78,                0.42704,                0.52565,                0.98317,                0.97769,                 0.9575,                 0.9818,                0.92764,                 0.3603,                0.35568,                 0.9048,             6.6081e-05,             6.6081e-05,             6.6081e-05
                     79,                0.42866,                0.51017,                0.98484,                0.97327,                0.95821,                0.98078,                0.92872,                0.35795,                0.35912,                0.90327,             6.3328e-05,             6.3328e-05,             6.3328e-05
                     80,                0.42588,                 0.5238,                0.97519,                 0.9744,                0.95764,                 0.9834,                0.92895,                0.35766,                0.35261,                0.90207,             6.0576e-05,             6.0576e-05,             6.0576e-05
                     81,                0.42631,                0.53237,                0.98036,                0.97166,                0.95991,                0.98301,                0.92944,                0.35221,                0.35111,                0.89576,             5.7824e-05,             5.7824e-05,             5.7824e-05
                     82,                 0.4257,                0.52588,                0.98006,                0.97692,                0.95695,                0.98393,                0.93275,                0.35095,                0.35204,                0.89761,             5.5072e-05,             5.5072e-05,             5.5072e-05
                     83,                0.42279,                0.52393,                0.98497,                0.98261,                0.96027,                0.98436,                0.93189,                0.34607,                0.34648,                0.89422,              5.232e-05,              5.232e-05,              5.232e-05
                     84,                0.42408,                0.50618,                0.98785,                0.97375,                  0.962,                0.98402,                0.93185,                0.35074,                0.34605,                0.89576,             4.9567e-05,             4.9567e-05,             4.9567e-05
                     85,                0.42627,                0.53094,                0.99208,                 0.9756,                0.95807,                0.98195,                 0.9293,                0.34705,                0.34938,                0.89534,             4.6815e-05,             4.6815e-05,             4.6815e-05
                     86,                0.41517,                0.51071,                0.98745,                0.97599,                0.96415,                 0.9847,                0.93184,                0.34571,                0.34693,                0.89323,             4.4063e-05,             4.4063e-05,             4.4063e-05
                     87,                0.41031,                0.50246,                0.97357,                0.97523,                0.95816,                0.98512,                0.93088,                0.34949,                0.34577,                 0.8962,             4.1311e-05,             4.1311e-05,             4.1311e-05
                     88,                 0.4217,                0.51927,                 0.9774,                 0.9765,                 0.9581,                0.98369,                0.93228,                 0.3422,                0.34304,                0.89116,             3.8559e-05,             3.8559e-05,             3.8559e-05
                     89,                0.41059,                0.50337,                0.97736,                0.97556,                0.95897,                0.98523,                0.93704,                0.33982,                0.33635,                0.89114,             3.5806e-05,             3.5806e-05,             3.5806e-05
                     90,                0.41874,                0.50582,                0.98402,                0.97445,                0.96264,                0.98357,                0.93181,                 0.3427,                0.33945,                0.89249,             3.3054e-05,             3.3054e-05,             3.3054e-05
                     91,                0.37922,                0.57947,                0.96711,                0.97617,                0.95797,                0.98451,                0.93214,                0.34663,                0.34966,                0.89263,             3.0302e-05,             3.0302e-05,             3.0302e-05
                     92,                0.36259,                0.54364,                0.95222,                0.97902,                0.95876,                0.98427,                0.93335,                0.34417,                0.34781,                0.89291,              2.755e-05,              2.755e-05,              2.755e-05
                     93,                0.35782,                0.52793,                0.94456,                0.97552,                0.95938,                0.98348,                 0.9347,                0.33913,                0.34469,                 0.8893,             2.4798e-05,             2.4798e-05,             2.4798e-05
                     94,                 0.3564,                0.52243,                0.94805,                0.98035,                0.95976,                0.98422,                0.93617,                0.33424,                0.33954,                0.88572,             2.2045e-05,             2.2045e-05,             2.2045e-05
                     95,                0.34794,                0.51361,                0.94828,                0.98225,                0.96083,                0.98428,                0.93547,                0.33496,                0.33645,                0.88496,             1.9293e-05,             1.9293e-05,             1.9293e-05
                     96,                0.34176,                  0.503,                0.94348,                0.98159,                0.96131,                0.98563,                  0.938,                0.33084,                0.33171,                0.88215,             1.6541e-05,             1.6541e-05,             1.6541e-05
                     97,                0.33987,                0.50547,                0.93754,                0.98374,                0.96248,                0.98557,                0.93848,                0.33028,                0.33312,                0.88209,             1.3789e-05,             1.3789e-05,             1.3789e-05
                     98,                0.35019,                0.51533,                0.94793,                0.97945,                0.96169,                0.98549,                0.93931,                0.32826,                0.33087,                0.88003,             1.1037e-05,             1.1037e-05,             1.1037e-05
                     99,                0.33853,                0.50221,                0.94043,                0.97804,                 0.9624,                0.98538,                0.94035,                0.32775,                0.32991,                0.87963,             8.2844e-06,             8.2844e-06,             8.2844e-06
                    100,                0.33764,                0.50159,                0.94324,                 0.9752,                0.96394,                0.98452,                0.93881,                0.32783,                0.32849,                0.87888,             5.5322e-06,             5.5322e-06,             5.5322e-06
